Original_Path,File,Year,Month,Path_End
/Users/mac/Downloads,IMG_1082.JPG,2015,January,/Users/mac/Downloads/2015/January
/Users/mac/Downloads,IMG_1219 - cópia.JPG,2015,January,/Users/mac/Downloads/2015/January
/Users/mac/Downloads,IMG_1106 - cópia.JPG,2015,January,/Users/mac/Downloads/2015/January
/Users/mac/Downloads,IMG_1090.JPG,2015,January,/Users/mac/Downloads/2015/January
/Users/mac/Downloads,IMG_1086.JPG,2015,January,/Users/mac/Downloads/2015/January
/Users/mac/Downloads,oficina-de-inverno-aplicativos-de-edicao-de-fotos-por-do-sol.jpg,2020,August,/Users/mac/Downloads/2020/August
/Users/mac/Downloads,IMG_1151.JPG,2015,January,/Users/mac/Downloads/2015/January
/Users/mac/Downloads,Petra Metais.jpeg,2020,July,/Users/mac/Downloads/2020/July
/Users/mac/Downloads,IMG_1219.JPG,2015,January,/Users/mac/Downloads/2015/January
/Users/mac/Downloads,b56643a287a85c98674cd1de05bea2c6.jpg,No_Data,No_Data,/Users/mac/Downloads/No_Data/No_Data
/Users/mac/Downloads,Arquivo Escaneado.jpeg,2020,June,/Users/mac/Downloads/2020/June
/Users/mac/Downloads,huji.jpg,No_Data,No_Data,/Users/mac/Downloads/No_Data/No_Data
/Users/mac/Downloads,WhatsApp Image 2019-12-18 at 17.01.28.jpeg,No_Data,No_Data,/Users/mac/Downloads/No_Data/No_Data
/Users/mac/Downloads,IMG_1151 - cópia.JPG,2015,January,/Users/mac/Downloads/2015/January
/Users/mac/Downloads,IMG_1106.JPG,2015,January,/Users/mac/Downloads/2015/January
/Users/mac/Downloads,WhatsApp Image 2019-12-11 at 15.41.34.jpeg,No_Data,No_Data,/Users/mac/Downloads/No_Data/No_Data
/Users/mac/Downloads,IMG_1070.JPG,2015,January,/Users/mac/Downloads/2015/January
